Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Category,SubCategory,Level1,Level2,Level3,
c9.461,9,461,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Dimsightedness
c9.462,9,462,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Spectator
c9.463,9,463,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Instruments
c9.464,9,464,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Visibility
c9.465,9,465,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Invisibility
c9.466,9,466,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Appearance
c9.467,9,467,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Disappearance
c9.468,9,468,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Operations Of Intellect In General,Intellect,,
c9.469,9,469,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Operations Of Intellect In General,Non-intellect,,
c9.470,9,470,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Operations Of Intellect In General,Thought,,
c9.471,9,471,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Operations Of Intellect In General,Incogitancy,,
c9.472,9,472,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Operations Of Intellect In General,Idea,,
c9.473,9,473,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Operations Of Intellect In General,Topic,,
c9.474,9,474,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Curiosity,,
c9.475,9,475,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Incuriosity,,
c9.476,9,476,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Attention,,
c9.477,9,477,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Inattention,,
c9.478,9,478,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Care,,
c9.479,9,479,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Neglect,,
c9.480,9,480,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Inquiry,,
c9.481,9,481,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Answer,,
c9.482,9,482,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Experiment,,
c9.483,9,483,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Comparison,,
c9.484,9,484,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Incomparability,,
c9.485,9,485,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Discrimination,,
c9.486,9,486,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Indiscrimination,,
c9.487,9,487,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Identification,,
c9.488,9,488,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Precursory Conditions And Operations,Measurement,,
c9.489,9,489,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,General Evidence,Evidence,
c9.490,9,490,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,General Evidence,Counter Evidence,
c9.491,9,491,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,General Evidence,Qualification,
c9.492,9,492,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,Degrees Of Evidence,Possibility,
c9.493,9,493,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,Degrees Of Evidence,Impossibility,
c9.494,9,494,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,Degrees Of Evidence,Probability,
c9.495,9,495,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,Degrees Of Evidence,Improbability,
c9.496,9,496,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,Degrees Of Evidence,Certainty,
c9.497,9,497,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Materials For Reasoning,Degrees Of Evidence,Uncertainty,
c9.498,9,498,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Reasoning Processes,Reasoning,,
c9.499,9,499,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Reasoning Processes,Intuitions,ophistry,
c9.500,9,500,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Reasoning Processes,Demonstration,,
c9.501,9,501,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Reasoning Processes,Confutation,,
c9.502,9,502,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Judgment,
c9.503,9,503,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Discovery,
c9.504,9,504,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Misjudgment,
c9.505,9,505,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Overestimation,
c9.506,9,506,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Underestimation,
c9.507,9,507,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Belief,
c9.508,9,508,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Unbelief/doubt,
c9.509,9,509,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Credulity,
c9.510,9,510,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Incredulity,
c9.511,9,511,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Assent,
c9.512,9,512,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Dissent,
c9.513,9,513,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Knowledge,
c9.514,9,514,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Ignorance,
c9.515,9,515,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Scholar,
c9.516,9,516,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Ignoramus,
c9.517,9,517,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Truth,
c9.518,9,518,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Error,
c9.519,9,519,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Maxim,
c9.520,9,520,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,General,Absurdity,
c9.521,9,521,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,Faculties,Intelligence/wisdom,
c9.522,9,522,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,Faculties,Imbecility/folly,
c9.523,9,523,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,Faculties,Sage,
c9.524,9,524,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,Faculties,Fool,
c9.525,9,525,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,Faculties,Sanity,
c9.526,9,526,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,Faculties,Insanity,
c9.527,9,527,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Results Of Reasoning,Faculties,Madman,
c9.528,9,528,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Past,Memory,
c9.529,9,529,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Past,Oblivion,
c9.530,9,530,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Future,Expectation,
c9.531,9,531,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Future,Inexpectation,
c9.532,9,532,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Future,Disappointment,
c9.533,9,533,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Future,Foresight,
c9.534,9,534,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Future,Prediction,
c9.535,9,535,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Future,Omen,
c9.536,9,536,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Extension Of Thought,To The Future,Oracle,
c9.537,9,537,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Creative Thought,Supposition,,
c9.538,9,538,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Creative Thought,Analogy,,
c9.539,9,539,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Formation Of Ideas,Creative Thought,Imagination,,
c9.540,9,540,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Meaning,,
c9.541,9,541,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Unmeaningness,,
c9.542,9,542,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Intelligibility,,
c9.543,9,543,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Unintelligibility,,
c9.544,9,544,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Equivocalness,,
c9.545,9,545,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Metaphor,,
c9.546,9,546,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Interpretation,,
c9.547,9,547,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Misinterpretation,,
c9.548,9,548,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Nature Of Ideas Communicated,Interpreter,,
c9.549,9,549,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Manifestation,,
c9.550,9,550,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Latency/implication,,
c9.551,9,551,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Information,,
c9.552,9,552,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Correction,,
c9.553,9,553,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Concealment,,
c9.554,9,554,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Disclosure,,
c9.555,9,555,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Ambush,,
c9.556,9,556,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Publication,,
c9.557,9,557,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,News,,
c9.558,9,558,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Secret,,
c9.559,9,559,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Messenger,,
c9.560,9,560,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Affirmation,,
c9.561,9,561,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Negation,,
c9.562,9,562,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Teaching,,
c9.563,9,563,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Misteaching,,
c9.564,9,564,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Learning,,
c9.565,9,565,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Teacher,,
c9.566,9,566,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Learner,,
c9.567,9,567,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,School,,
c9.568,9,568,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Veracity,,
c9.569,9,569,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Falsehood,,
c9.570,9,570,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Deception,,
c9.571,9,571,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Untruth,,
c9.572,9,572,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Dupe,,
c9.573,9,573,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Deceiver,,
c9.574,9,574,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Modes Of Communication,Exaggeration,,
c9.575,9,575,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Indication,
c9.576,9,576,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Record,
c9.577,9,577,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Obliteration,
c9.578,9,578,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Recorder,
c9.579,9,579,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Representation,
c9.580,9,580,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Misrepresentation,
c9.581,9,581,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Painting,
c9.582,9,582,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Sculpture,
c9.583,9,583,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Engraving,
c9.584,9,584,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Natural Means,Artist,
c9.585,9,585,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Language
c9.586,9,586,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Letter
c9.587,9,587,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Word
c9.588,9,588,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Neologism
c9.589,9,589,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Nomenclature
c9.590,9,590,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Misnomer
c9.591,9,591,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Phrase
c9.592,9,592,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Grammar
c9.593,9,593,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Solecism
c9.594,9,594,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Style
c9.595,9,595,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Perspicuity
c9.596,9,596,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Obscurity
c9.597,9,597,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Conciseness
c9.598,9,598,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Diffuseness
c9.599,9,599,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Vigor
c9.600,9,600,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Feebleness
c9.601,9,601,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Plainness
c9.602,9,602,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Ornament
c9.603,9,603,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Elegance
c9.604,9,604,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Language Generally,Inelegance
c9.605,9,605,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Voice
c9.606,9,606,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Aphony
c9.607,9,607,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Speech
c9.608,9,608,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Stammering
c9.609,9,609,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Loquacity
c9.610,9,610,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Taciturnity
c9.611,9,611,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Allocution
c9.612,9,612,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Response
c9.613,9,613,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Conversation
c9.614,9,614,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Spoken Language,Soliloquy
c9.615,9,615,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Writing
c9.616,9,616,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Printing
c9.617,9,617,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Correspondence
c9.618,9,618,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Book
c9.619,9,619,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Description
c9.620,9,620,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Dissertation
c9.621,9,621,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Compendium
c9.622,9,622,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Poetry
c9.623,9,623,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,Prose
c9.624,9,624,WORDCOUNT,eng,Roget's Thesaurus, Intellectual Faculties,Communication Of Ideas,Means Of Communicating Ideas,Conventional Means,Written Language,The Drama
c9.625,9,625,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Will,
c9.626,9,626,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Necessity,
c9.627,9,627,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Willingness,
c9.628,9,628,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Unwillingness,
c9.629,9,629,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Resolution,
c9.630,9,630,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Perseverance,
c9.631,9,631,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Irresolution,
c9.632,9,632,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Obstinacy,
c9.633,9,633,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Tergiversation,
c9.634,9,634,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Caprice,
c9.635,9,635,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Choice,
c9.636,9,636,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Of Choice,
c9.637,9,637,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Rejection,
c9.638,9,638,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Predetermination,
c9.639,9,639,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Impulse,
c9.640,9,640,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Habit,
c9.641,9,641,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Acts Of Volitions,Desuetude,
c9.642,9,642,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Causes Of Volition,Motive,
c9.643,9,643,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Causes Of Volition,Of Motive,
c9.644,9,644,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Causes Of Volition,Dissuasion,
c9.645,9,645,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Causes Of Volition,Pretext,
c9.646,9,646,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Objects Of Volition,Good,
c9.647,9,647,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Volition In General,Objects Of Volition,Evil,
c9.648,9,648,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Prospective Volition,Conceptional Volition,Intention,
c9.649,9,649,WORDCOUNT,eng,Roget's Thesaurus, Volontary Powers,Individual Volition,Prospective Volition,Conceptional Volition,Chance,
