GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,Action_Geo_FeatureID,DATEADDED,SOURCEURL
,,,,,,,,,Mayangnas,Assemblies of Yahweh,Assemblies of Yahweh,,,,,,,,Mayangnas,Assemblies of Yahweh,Assemblies of Yahweh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Myene,Bethel Ministerial Association,Bethel Ministerial Association,,,,,,,,Myene,Bethel Ministerial Association,Bethel Ministerial Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maya,Christadelphianism    a.k.a. Thomasites,Christadelphianism    a.k.a. Thomasites,,,,,,,,Maya,Christadelphianism    a.k.a. Thomasites,Christadelphianism    a.k.a. Thomasites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Mordvins,"Christian Conventions   a.k.a. Two-by-Twos, the Workers and  Friends","Christian Conventions   a.k.a. Two-by-Twos, the Workers and  Friends",,,,,,,,Mordvins,"Christian Conventions   a.k.a. Two-by-Twos, the Workers and  Friends","Christian Conventions   a.k.a. Two-by-Twos, the Workers and  Friends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Naga,Cooneyites,Cooneyites,,,,,,,,Naga,Cooneyites,Cooneyites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nahua,"Christian Science   a.k.a.  Church of Christ, Scientist","Christian Science   a.k.a.  Church of Christ, Scientist",,,,,,,,Nahua,"Christian Science   a.k.a.  Church of Christ, Scientist","Christian Science   a.k.a.  Church of Christ, Scientist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Native American,Church of the Blessed  Hope,Church of the Blessed  Hope,,,,,,,,Native American,Church of the Blessed  Hope,Church of the Blessed  Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nama,Friends of Man,Friends of Man,,,,,,,,Nama,Friends of Man,Friends of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Neapolitan,Iglesia ni Cristo,Iglesia ni Cristo,,,,,,,,Neapolitan,Iglesia ni Cristo,Iglesia ni Cristo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nauruan,The Local Church   a.k.a.  Little Flock,The Local Church   a.k.a.  Little Flock,,,,,,,,Nauruan,The Local Church   a.k.a.  Little Flock,The Local Church   a.k.a.  Little Flock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Navajo,Members Church of God International,Members Church of God International,,,,,,,,Navajo,Members Church of God International,Members Church of God International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nakhi,Mita Congregation,Mita Congregation,,,,,,,,Nakhi,Mita Congregation,Mita Congregation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nuba,"New Thought Movement   inc. only the Christian, official New Thought movements","New Thought Movement   inc. only the Christian, official New Thought movements",,,,,,,,Nuba,"New Thought Movement   inc. only the Christian, official New Thought movements","New Thought Movement   inc. only the Christian, official New Thought movements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,South Ndebele,Church of Divine Science,Church of Divine Science,,,,,,,,South Ndebele,Church of Divine Science,Church of Divine Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nicaraguan,Religious Science,Religious Science,,,,,,,,Nicaraguan,Religious Science,Religious Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Northern Ndebele,Unity School of Christianity   a.k.a. Unity  Church,Unity School of Christianity   a.k.a. Unity  Church,,,,,,,,Northern Ndebele,Unity School of Christianity   a.k.a. Unity  Church,Unity School of Christianity   a.k.a. Unity  Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ndonga,Oneness Pentecostalism   (maybe delete some members,Oneness Pentecostalism   (maybe delete some members,,,,,,,,Ndonga,Oneness Pentecostalism   (maybe delete some members,Oneness Pentecostalism   (maybe delete some members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nepali,United Pentecostal Church International,United Pentecostal Church International,,,,,,,,Nepali,United Pentecostal Church International,United Pentecostal Church International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nuer,Pentecostal Assemblies of the World,Pentecostal Assemblies of the World,,,,,,,,Nuer,Pentecostal Assemblies of the World,Pentecostal Assemblies of the World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Newars,Spiritual Christianity,Spiritual Christianity,,,,,,,,Newars,Spiritual Christianity,Spiritual Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ngbandi,Molokans,Molokans,,,,,,,,Ngbandi,Molokans,Molokans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ngoni,Dukhobors   a.s.a. Doukhobors,Dukhobors   a.s.a. Doukhobors,,,,,,,,Ngoni,Dukhobors   a.s.a. Doukhobors,Dukhobors   a.s.a. Doukhobors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Niasans,Khlysts,Khlysts,,,,,,,,Niasans,Khlysts,Khlysts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nibolek,Skoptsy,Skoptsy,,,,,,,,Nibolek,Skoptsy,Skoptsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Niari,Ikonobortsy,Ikonobortsy,,,,,,,,Niari,Ikonobortsy,Ikonobortsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Niuean,"Swedenborgianism    a.k.a.      The Lord_s New Church, Church of the New Jerusalem","Swedenborgianism    a.k.a.      The Lord_s New Church, Church of the New Jerusalem",,,,,,,,Niuean,"Swedenborgianism    a.k.a.      The Lord_s New Church, Church of the New Jerusalem","Swedenborgianism    a.k.a.      The Lord_s New Church, Church of the New Jerusalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nkomi,The Way International,The Way International,,,,,,,,Nkomi,The Way International,The Way International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nung,American Fellowship Services,American Fellowship Services,,,,,,,,Nung,American Fellowship Services,American Fellowship Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nogais,Great Lakes Fellowship,Great Lakes Fellowship,,,,,,,,Nogais,Great Lakes Fellowship,Great Lakes Fellowship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Norwegians,Pacific West Fellowship,Pacific West Fellowship,,,,,,,,Norwegians,Pacific West Fellowship,Pacific West Fellowship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Northern Sotho,Unification Church (Moonies),Unification Church (Moonies),,,,,,,,Northern Sotho,Unification Church (Moonies),Unification Church (Moonies),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nubian,millenarian Christianity,millenarian Christianity,,,,,,,,Nubian,millenarian Christianity,millenarian Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nuristani,Branch Davidians,Branch Davidians,,,,,,,,Nuristani,Branch Davidians,Branch Davidians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nu,"The Brethren   a.k.a. The Body of Christ, The Garbage Eaters","The Brethren   a.k.a. The Body of Christ, The Garbage Eaters",,,,,,,,Nu,"The Brethren   a.k.a. The Body of Christ, The Garbage Eaters","The Brethren   a.k.a. The Body of Christ, The Garbage Eaters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Chewa,Concerned Christians,Concerned Christians,,,,,,,,Chewa,Concerned Christians,Concerned Christians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nyakyusa,new Christian movements,new Christian movements,,,,,,,,Nyakyusa,new Christian movements,new Christian movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nyamwezi,The Body of Christ,The Body of Christ,,,,,,,,Nyamwezi,The Body of Christ,The Body of Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ankole,Church of the Living Word    a.k.a. The Walk,Church of the Living Word    a.k.a. The Walk,,,,,,,,Ankole,Church of the Living Word    a.k.a. The Walk,Church of the Living Word    a.k.a. The Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nyoro,The Family International,The Family International,,,,,,,,Nyoro,The Family International,The Family International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,New Zealanders,Foundation of Human Understanding,Foundation of Human Understanding,,,,,,,,New Zealanders,Foundation of Human Understanding,Foundation of Human Understanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nzema,International Community of Christ,International Community of Christ,,,,,,,,Nzema,International Community of Christ,International Community of Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Occitanians,Shepherding Movement,Shepherding Movement,,,,,,,,Occitanians,Shepherding Movement,Shepherding Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ogoni,offshoots  of Christianity,offshoots  of Christianity,,,,,,,,Ogoni,offshoots  of Christianity,offshoots  of Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ojibwe,National Spiritualist Association of Churches,National Spiritualist Association of Churches,,,,,,,,Ojibwe,National Spiritualist Association of Churches,National Spiritualist Association of Churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Orthodox/Ultra-Orthodox Jew,Spiritualism,Spiritualism,,,,,,,,Orthodox/Ultra-Orthodox Jew,Spiritualism,Spiritualism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Okinawan,Unitarian-Universalism,Unitarian-Universalism,,,,,,,,Okinawan,Unitarian-Universalism,Unitarian-Universalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Oriya,Covenant of Unitarian Universalist Pagans,Covenant of Unitarian Universalist Pagans,,,,,,,,Oriya,Covenant of Unitarian Universalist Pagans,Covenant of Unitarian Universalist Pagans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Oromo,Unitarianism,Unitarianism,,,,,,,,Oromo,Unitarianism,Unitarianism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Orgunu,Universalism,Universalism,,,,,,,,Orgunu,Universalism,Universalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Osage,Urantia Foundation,Urantia Foundation,,,,,,,,Osage,Urantia Foundation,Urantia Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ossetians,Protestant,Protestant,,,,,,,,Ossetians,Protestant,Protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Otomi,(Protestant - generic terms/non-denominational  movements),(Protestant - generic terms/non-denominational  movements),,,,,,,,Otomi,(Protestant - generic terms/non-denominational  movements),(Protestant - generic terms/non-denominational  movements),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ovambo,charismatic Protestantism,charismatic Protestantism,,,,,,,,Ovambo,charismatic Protestantism,charismatic Protestantism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Papuan,cyberchurch,cyberchurch,,,,,,,,Papuan,cyberchurch,cyberchurch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pacific Islanders,dispensationalism,dispensationalism,,,,,,,,Pacific Islanders,dispensationalism,dispensationalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pangasinan,evangelical Protestantism,evangelical Protestantism,,,,,,,,Pangasinan,evangelical Protestantism,evangelical Protestantism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Palestinian,pietism,pietism,,,,,,,,Palestinian,pietism,pietism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Palestinian,Adventism,Adventism,,,,,,,,Palestinian,Adventism,Adventism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Kapampangan,Advent Christian Church,Advent Christian Church,,,,,,,,Kapampangan,Advent Christian Church,Advent Christian Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Punjabi,Church of God (Seventh Day),Church of God (Seventh Day),,,,,,,,Punjabi,Church of God (Seventh Day),Church of God (Seventh Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Papiamento-Creole,Church of God and Saints of Christ,Church of God and Saints of Christ,,,,,,,,Papiamento-Creole,Church of God and Saints of Christ,Church of God and Saints of Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Paraguayan,Church of God General  Conference,Church of God General  Conference,,,,,,,,Paraguayan,Church of God General  Conference,Church of God General  Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Palauan,Davidian Seventh-day Adventist Association,Davidian Seventh-day Adventist Association,,,,,,,,Palauan,Davidian Seventh-day Adventist Association,Davidian Seventh-day Adventist Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Persian,Seventh Day Adventist Reform Movement,Seventh Day Adventist Reform Movement,,,,,,,,Persian,Seventh Day Adventist Reform Movement,Seventh Day Adventist Reform Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Animist/Pagan,Seventh-day Adventist Church,Seventh-day Adventist Church,,,,,,,,Animist/Pagan,Seventh-day Adventist Church,Seventh-day Adventist Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Puthai,United Church of God,United Church of God,,,,,,,,Puthai,United Church of God,United Church of God,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Panamanians,Worldwide Church of God,Worldwide Church of God,,,,,,,,Panamanians,Worldwide Church of God,Worldwide Church of God,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Poles,Assembly of Yahweh,Assembly of Yahweh,,,,,,,,Poles,Assembly of Yahweh,Assembly of Yahweh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pomaks,Primitive Advent Christian Church,Primitive Advent Christian Church,,,,,,,,Pomaks,Primitive Advent Christian Church,Primitive Advent Christian Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pehnpeian,United Seventh-Day Brethren,United Seventh-Day Brethren,,,,,,,,Pehnpeian,United Seventh-Day Brethren,United Seventh-Day Brethren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Portuguese ,True and Free Adventists,True and Free Adventists,,,,,,,,Portuguese ,True and Free Adventists,True and Free Adventists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Papel,United Sabbath-Day Adventist Church,United Sabbath-Day Adventist Church,,,,,,,,Papel,United Sabbath-Day Adventist Church,United Sabbath-Day Adventist Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Protestant,African-initiated churches and denominations,African-initiated churches and denominations,,,,,,,,Protestant,African-initiated churches and denominations,African-initiated churches and denominations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Peruvian,Ethiopian churches,Ethiopian churches,,,,,,,,Peruvian,Ethiopian churches,Ethiopian churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pashayi,Zionist churches,Zionist churches,,,,,,,,Pashayi,Zionist churches,Zionist churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pumi,Messianic churches,Messianic churches,,,,,,,,Pumi,Messianic churches,Messianic churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pashtun,Apostolic churches,Apostolic churches,,,,,,,,Pashtun,Apostolic churches,Apostolic churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Qiang,Aladura Pentecostal Churches,Aladura Pentecostal Churches,,,,,,,,Qiang,Aladura Pentecostal Churches,Aladura Pentecostal Churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Qizilbash,Anabaptism,Anabaptism,,,,,,,,Qizilbash,Anabaptism,Anabaptism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Quechua,Amish,Amish,,,,,,,,Quechua,Amish,Amish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rajasthani,Apostolic Christian Church (Nazarean),Apostolic Christian Church (Nazarean),,,,,,,,Rajasthani,Apostolic Christian Church (Nazarean),Apostolic Christian Church (Nazarean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pahari Rajput,Brethren in Christ,Brethren in Christ,,,,,,,,Pahari Rajput,Brethren in Christ,Brethren in Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rapa Nui,Bruderhof,Bruderhof,,,,,,,,Rapa Nui,Bruderhof,Bruderhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cook Islands Maori,"Church of God in Christ, Mennonite","Church of God in Christ, Mennonite",,,,,,,,Cook Islands Maori,"Church of God in Christ, Mennonite","Church of God in Christ, Mennonite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unspecified Religion,Church of the Brethren,Church of the Brethren,,,,,,,,Unspecified Religion,Church of the Brethren,Church of the Brethren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Romansh,Hutterites   a.k.a. _New Baptists_,Hutterites   a.k.a. _New Baptists_,,,,,,,,Romansh,Hutterites   a.k.a. _New Baptists_,Hutterites   a.k.a. _New Baptists_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Romani,Mennonites,Mennonites,,,,,,,,Romani,Mennonites,Mennonites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Romanian,"Old German Baptist Brethren    a.k.a.  Hutterian Brethren, Hutterian Society of   Brothers","Old German Baptist Brethren    a.k.a.  Hutterian Brethren, Hutterian Society of   Brothers",,,,,,,,Romanian,"Old German Baptist Brethren    a.k.a.  Hutterian Brethren, Hutterian Society of   Brothers","Old German Baptist Brethren    a.k.a.  Hutterian Brethren, Hutterian Society of   Brothers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rundi,Schwarzenau Brethren,Schwarzenau Brethren,,,,,,,,Rundi,Schwarzenau Brethren,Schwarzenau Brethren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Aromanians,Baptist churches,Baptist churches,,,,,,,,Aromanians,Baptist churches,Baptist churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Russian,Free and General  Baptists,Free and General  Baptists,,,,,,,,Russian,Free and General  Baptists,Free and General  Baptists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sandawe,Seventh Day Baptists,Seventh Day Baptists,,,,,,,,Sandawe,Seventh Day Baptists,Seventh Day Baptists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sango,Strict and Particular Baptists,Strict and Particular Baptists,,,,,,,,Sango,Strict and Particular Baptists,Strict and Particular Baptists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Yakuts,Congregationalism,Congregationalism,,,,,,,,Yakuts,Congregationalism,Congregationalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Salish,Lutheranism,Lutheranism,,,,,,,,Salish,Lutheranism,Lutheranism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sara,Confessional  Evangelical  Lutheran Conference,Confessional  Evangelical  Lutheran Conference,,,,,,,,Sara,Confessional  Evangelical  Lutheran Conference,Confessional  Evangelical  Lutheran Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sasak,Evangelical Catholic Lutheranism   a.k.a. High Church  Lutheranism,Evangelical Catholic Lutheranism   a.k.a. High Church  Lutheranism,,,,,,,,Sasak,Evangelical Catholic Lutheranism   a.k.a. High Church  Lutheranism,Evangelical Catholic Lutheranism   a.k.a. High Church  Lutheranism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sudanese,International Lutheran Council,International Lutheran Council,,,,,,,,Sudanese,International Lutheran Council,International Lutheran Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sicilian,Lutheran World Federation,Lutheran World Federation,,,,,,,,Sicilian,Lutheran World Federation,Lutheran World Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Scottish,Unaffiliated Lutheran denominations,Unaffiliated Lutheran denominations,,,,,,,,Scottish,Unaffiliated Lutheran denominations,Unaffiliated Lutheran denominations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Selkup,Methodism and Wesleyanism,Methodism and Wesleyanism,,,,,,,,Selkup,Methodism and Wesleyanism,Methodism and Wesleyanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sena,Nazarene Church,Nazarene Church,,,,,,,,Sena,Nazarene Church,Nazarene Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sufi,Pentecostalism,Pentecostalism,,,,,,,,Sufi,Pentecostalism,Pentecostalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Shafi'i,Independent Pentecostalism,Independent Pentecostalism,,,,,,,,Shafi'i,Independent Pentecostalism,Independent Pentecostalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,She,Reformed/Higher Life Pentecostalism   (most prominent group: Assemblies of God),Reformed/Higher Life Pentecostalism   (most prominent group: Assemblies of God),,,,,,,,She,Reformed/Higher Life Pentecostalism   (most prominent group: Assemblies of God),Reformed/Higher Life Pentecostalism   (most prominent group: Assemblies of God),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Shi'ites,Wesleyan/Holiness Pentecostalism,Wesleyan/Holiness Pentecostalism,,,,,,,,Shi'ites,Wesleyan/Holiness Pentecostalism,Wesleyan/Holiness Pentecostalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Shilluk,Plymouth Brethren,Plymouth Brethren,,,,,,,,Shilluk,Plymouth Brethren,Plymouth Brethren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Shan,pre-Lutheran Protestants,pre-Lutheran Protestants,,,,,,,,Shan,pre-Lutheran Protestants,pre-Lutheran Protestants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Shaigiya,Czechoslovak Hussite Church,Czechoslovak Hussite Church,,,,,,,,Shaigiya,Czechoslovak Hussite Church,Czechoslovak Hussite Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sidama,Moravian Church,Moravian Church,,,,,,,,Sidama,Moravian Church,Moravian Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sinhalese,Unity of the Brethren,Unity of the Brethren,,,,,,,,Sinhalese,Unity of the Brethren,Unity of the Brethren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Siouan,Waldensian Evangelical Church,Waldensian Evangelical Church,,,,,,,,Siouan,Waldensian Evangelical Church,Waldensian Evangelical Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Slavic,Presbyterianism,Presbyterianism,,,,,,,,Slavic,Presbyterianism,Presbyterianism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Slovaks,Quakerism   a.k.a. Religious Society of Friends or Society of Friends,Quakerism   a.k.a. Religious Society of Friends or Society of Friends,,,,,,,,Slovaks,Quakerism   a.k.a. Religious Society of Friends or Society of Friends,Quakerism   a.k.a. Religious Society of Friends or Society of Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
